,Alabama,,,,Alaska,,,,Arizona,,,,Arkansas,,,,California,,,,Colorado,,,,Connecticut,,,,Delaware,,,,District of Columbia,,,,Florida,,,,Georgia,,,,Hawaii,,,,Idaho,,,,Illinois,,,,Indiana,,,,Iowa,,,,Kansas,,,,Kentucky,,,,Louisiana,,,,Maine,,,,Maryland,,,,Massachusetts,,,,Michigan,,,,Minnesota,,,,Mississippi,,,,Missouri,,,,Montana,,,,Nebraska,,,,Nevada,,,,New Hampshire,,,,New Jersey,,,,New Mexico,,,,New York,,,,North Carolina,,,,North Dakota,,,,Ohio,,,,Oklahoma,,,,Oregon,,,,Pennsylvania,,,,Rhode Island,,,,South Carolina,,,,South Dakota,,,,Tennessee,,,,Texas,,,,Utah,,,,Vermont,,,,Virginia,,,,Washington,,,,West Virginia,,,,Wisconsin,,,,Wyoming,,,,Puerto Rico,,,
20 to 24 years,"326,900","±1,349",6.5%,±0.1,"50,780",±634,6.9%,±0.1,"477,856",±779,6.8%,±0.1,"198,013","±1,059",6.6%,±0.1,"2,626,849","±1,451",6.7%,±0.1,"373,987","±1,090",6.5%,±0.1,"241,370",±530,6.7%,±0.1,"57,883",±198,5.9%,±0.1,"49,311",±382,7.2%,±0.1,"1,244,479","±1,802",5.8%,±0.1,"712,566","±2,529",6.7%,±0.1,"90,807",±422,6.2%,±0.1,"118,300",±839,6.5%,±0.1,"833,461","±1,180",6.5%,±0.1,"464,895","±1,732",6.9%,±0.1,"225,007","±1,049",7.1%,±0.1,"211,823","±1,077",7.2%,±0.1,"298,606","±1,255",6.6%,±0.1,"305,708","±1,330",6.6%,±0.1,"74,775",±532,5.5%,±0.1,"376,043",±822,6.1%,±0.1,"486,655",±643,7.0%,±0.1,"682,724","±1,017",6.8%,±0.1,"354,809","±1,059",6.3%,±0.1,"199,334","±1,664",6.7%,±0.1,"400,642","±1,614",6.5%,±0.1,"71,805",±807,6.7%,±0.1,"134,953",±622,6.9%,±0.1,"180,697",±626,5.9%,±0.1,"86,472",±598,6.3%,±0.1,"559,157",±637,6.1%,±0.1,"140,177","±1,056",6.6%,±0.1,"1,297,689","±1,422",6.5%,±0.1,"686,487","±1,780",6.6%,±0.1,"62,395",±629,8.1%,±0.1,"748,606","±1,407",6.4%,±0.1,"271,501","±1,018",6.9%,±0.1,"262,037","±1,192",6.2%,±0.1,"804,254","±1,167",6.2%,±0.1,"76,427",±646,7.0%,±0.1,"322,989","±1,498",6.4%,±0.1,"58,119",±805,6.6%,±0.1,"443,703","±1,532",6.5%,±0.1,"1,981,880","±2,904",6.9%,±0.1,"264,774",±648,8.2%,±0.1,"46,698",±362,7.3%,±0.1,"570,680","±2,303",6.6%,±0.1,"478,112","±1,026",6.3%,±0.1,"110,934",±750,6.2%,±0.1,"393,324",±726,6.7%,±0.1,"36,972",±672,6.4%,±0.1,"227,033",±835,6.9%,±0.1
25 to 34 years,"647,247","±1,326",13.0%,±0.1,"116,525",±540,15.8%,±0.1,"966,670",±622,13.7%,±0.1,"388,499","±1,336",12.9%,±0.1,"5,941,622","±1,415",15.1%,±0.1,"889,933","±1,157",15.5%,±0.1,"445,861",±535,12.4%,±0.1,"127,878",±230,13.0%,±0.1,"155,714",±117,22.8%,±0.1,"2,742,442","±1,994",12.9%,±0.1,"1,461,985","±2,680",13.8%,±0.1,"202,540",±235,13.9%,±0.1,"235,303",±982,13.0%,±0.1,"1,751,542","±1,087",13.7%,±0.1,"878,932","±1,438",13.0%,±0.1,"394,731","±1,096",12.4%,±0.1,"377,981","±1,135",12.9%,±0.1,"581,740","±1,598",12.9%,±0.1,"647,235","±1,522",13.9%,±0.1,"162,251",±700,12.0%,±0.1,"829,899",±913,13.5%,±0.1,"990,623",±705,14.2%,±0.1,"1,299,035","±1,030",12.9%,±0.1,"756,215","±1,040",13.3%,±0.1,"380,627","±1,734",12.8%,±0.1,"814,351","±1,557",13.3%,±0.1,"138,091",±895,12.8%,±0.1,"255,107",±722,13.1%,±0.1,"442,799",±636,14.5%,±0.1,"171,559",±698,12.5%,±0.1,"1,179,836",±729,12.8%,±0.1,"280,505","±1,087",13.3%,±0.1,"2,904,643","±1,306",14.4%,±0.1,"1,376,001","±1,731",13.3%,±0.1,"114,503",±835,14.8%,±0.1,"1,543,258","±1,522",13.1%,±0.1,"535,616","±1,063",13.6%,±0.1,"592,788","±1,080",14.1%,±0.1,"1,701,098","±1,081",13.1%,±0.1,"151,218",±616,13.8%,±0.1,"660,600","±1,457",13.0%,±0.1,"113,476",±800,12.9%,±0.1,"937,154","±1,669",13.7%,±0.1,"4,180,029","±3,631",14.5%,±0.1,"470,489",±695,14.6%,±0.1,"75,375",±381,11.7%,±0.1,"1,175,445","±2,256",13.7%,±0.1,"1,152,156","±1,172",15.1%,±0.1,"210,924",±950,11.7%,±0.1,"735,155","±1,121",12.5%,±0.1,"75,736",±801,13.1%,±0.1,"419,212",±766,12.7%,±0.1
35 to 44 years,"615,110","±1,402",12.3%,±0.1,"96,664",±644,13.1%,±0.1,"882,914",±647,12.5%,±0.1,"376,431","±1,152",12.5%,±0.1,"5,341,049","±1,445",13.5%,±0.1,"805,249","±1,040",14.1%,±0.1,"439,098",±478,12.2%,±0.1,"115,773",±208,11.8%,±0.1,"106,798",±111,15.6%,±0.1,"2,626,930","±1,935",12.3%,±0.1,"1,408,856","±2,340",13.3%,±0.1,"188,445",±248,13.0%,±0.1,"233,188",±876,12.9%,±0.1,"1,676,721","±1,180",13.1%,±0.1,"843,453","±1,292",12.5%,±0.1,"392,662",±967,12.4%,±0.1,"366,623","±1,127",12.5%,±0.1,"560,926","±1,313",12.5%,±0.1,"601,213","±1,482",12.9%,±0.1,"158,307",±612,11.7%,±0.1,"805,385",±822,13.1%,±0.1,"873,396",±618,12.5%,±0.1,"1,192,280",±976,11.8%,±0.1,"738,714","±1,051",13.0%,±0.1,"372,406","±1,532",12.6%,±0.1,"763,084","±1,574",12.4%,±0.1,"132,841",±740,12.3%,±0.1,"247,949",±775,12.7%,±0.1,"413,310",±638,13.5%,±0.1,"160,635",±465,11.7%,±0.1,"1,197,006",±598,13.0%,±0.1,"260,723",±944,12.4%,±0.1,"2,545,476","±1,145",12.7%,±0.1,"1,310,998","±1,774",12.6%,±0.1,"94,808",±673,12.3%,±0.1,"1,430,057","±1,463",12.2%,±0.1,"503,103","±1,043",12.7%,±0.1,"575,671",±933,13.7%,±0.1,"1,558,578","±1,407",12.0%,±0.1,"130,860",±539,12.0%,±0.1,"623,443","±1,115",12.3%,±0.1,"107,033",±736,12.1%,±0.1,"862,987","±1,617",12.6%,±0.1,"3,979,307","±2,769",13.8%,±0.1,"449,006",±684,13.9%,±0.1,"74,504",±426,11.6%,±0.1,"1,136,245","±2,095",13.2%,±0.1,"1,044,100",±803,13.7%,±0.1,"218,005",±854,12.1%,±0.1,"728,714",±845,12.4%,±0.1,"74,849",±805,13.0%,±0.1,"403,558",±557,12.2%,±0.1
45 to 54 years,"633,931","±1,147",12.7%,±0.1,"87,719",±673,11.9%,±0.1,"838,963",±585,11.9%,±0.1,"364,713","±1,054",12.1%,±0.1,"5,043,403","±1,340",12.8%,±0.1,"712,196",±947,12.4%,±0.1,"488,283",±395,13.5%,±0.1,"121,235",±156,12.3%,±0.1,"73,601",±75,10.8%,±0.1,"2,735,230","±1,483",12.8%,±0.1,"1,410,815","±1,833",13.3%,±0.1,"175,158",±207,12.1%,±0.1,"207,825",±967,11.5%,±0.1,"1,640,483","±1,033",12.8%,±0.1,"838,946","±1,285",12.4%,±0.1,"371,831",±970,11.7%,±0.1,"337,255",±899,11.5%,±0.1,"573,036","±1,150",12.8%,±0.1,"555,655","±1,346",11.9%,±0.1,"179,107",±530,13.2%,±0.1,"820,246",±686,13.3%,±0.1,"919,430",±695,13.2%,±0.1,"1,282,178",±906,12.7%,±0.1,"688,596",±998,12.1%,±0.1,"364,118","±1,360",12.3%,±0.1,"744,131","±1,262",12.1%,±0.1,"121,522",±561,11.3%,±0.1,"221,511",±700,11.4%,±0.1,"396,434",±737,13.0%,±0.1,"187,228",±424,13.6%,±0.1,"1,265,171",±589,13.7%,±0.1,"241,097",±799,11.4%,±0.1,"2,597,124","±1,175",12.9%,±0.1,"1,361,474","±1,604",13.1%,±0.1,"80,914",±653,10.5%,±0.1,"1,478,888","±1,312",12.6%,±0.1,"459,972",±922,11.7%,±0.1,"517,524",±831,12.3%,±0.1,"1,650,190","±1,276",12.7%,±0.1,"141,011",±463,12.9%,±0.1,"638,085","±1,053",12.6%,±0.1,"96,062",±548,10.9%,±0.1,"885,621","±1,500",12.9%,±0.1,"3,575,796","±2,746",12.4%,±0.1,"337,187",±740,10.4%,±0.1,"81,221",±355,12.7%,±0.1,"1,119,597","±1,918",13.0%,±0.1,"939,276",±876,12.3%,±0.1,"232,672",±640,12.9%,±0.1,"732,579",±832,12.5%,±0.1,"65,218",±664,11.3%,±0.1,"430,651",±495,13.0%,±0.1
55 to 59 years,"337,355","±3,900",6.8%,±0.1,"47,145","±1,377",6.4%,±0.2,"432,889","±3,810",6.1%,±0.1,"196,544","±2,419",6.5%,±0.1,"2,502,174","±8,929",6.3%,±0.1,"365,606","±3,198",6.4%,±0.1,"269,688","±3,168",7.5%,±0.1,"69,719","±1,744",7.1%,±0.2,"35,195","±1,245",5.2%,±0.2,"1,481,932","±8,841",6.9%,±0.1,"691,536","±6,267",6.5%,±0.1,"92,283","±1,649",6.3%,±0.1,"111,218","±2,141",6.1%,±0.1,"869,497","±4,793",6.8%,±0.1,"450,414","±4,388",6.7%,±0.1,"210,808","±2,259",6.6%,±0.1,"187,614","±2,306",6.4%,±0.1,"308,608","±3,047",6.9%,±0.1,"309,070","±3,769",6.6%,±0.1,"106,765","±1,908",7.9%,±0.1,"432,973","±3,905",7.0%,±0.1,"499,884","±4,105",7.1%,±0.1,"711,087","±4,565",7.1%,±0.1,"394,429","±3,101",7.0%,±0.1,"192,007","±3,210",6.5%,±0.1,"420,482","±3,776",6.8%,±0.1,"72,740","±1,239",6.7%,±0.1,"122,330","±1,807",6.3%,±0.1,"198,224","±2,143",6.5%,±0.1,"112,805","±1,692",8.2%,±0.1,"667,696","±5,470",7.2%,±0.1,"136,314","±2,693",6.5%,±0.1,"1,392,050","±6,681",6.9%,±0.1,"690,624","±5,947",6.7%,±0.1,"48,478","±1,278",6.3%,±0.2,"821,573","±5,704",7.0%,±0.1,"250,962","±2,419",6.4%,±0.1,"263,898","±2,997",6.3%,±0.1,"924,182","±5,387",7.1%,±0.1,"76,853","±2,189",7.0%,±0.2,"342,145","±3,694",6.7%,±0.1,"57,430","±1,127",6.5%,±0.1,"458,189","±4,372",6.7%,±0.1,"1,707,087","±7,209",5.9%,±0.1,"155,436","±2,128",4.8%,±0.1,"48,114",±992,7.5%,±0.2,"583,198","±4,445",6.8%,±0.1,"480,723","±3,987",6.3%,±0.1,"124,666","±2,054",6.9%,±0.1,"427,743","±3,179",7.3%,±0.1,"38,554","±1,175",6.7%,±0.2,"221,214","±2,733",6.7%,±0.1
60 to 64 years,"335,733","±3,839",6.7%,±0.1,"46,141","±1,314",6.3%,±0.2,"426,712","±3,809",6.0%,±0.1,"189,742","±2,302",6.3%,±0.1,"2,298,943","±8,915",5.8%,±0.1,"344,802","±3,149",6.0%,±0.1,"252,028","±3,171",7.0%,±0.1,"69,638","±1,739",7.1%,±0.2,"33,219","±1,256",4.9%,±0.2,"1,415,791","±8,755",6.6%,±0.1,"622,832","±6,390",5.9%,±0.1,"93,207","±1,650",6.4%,±0.1,"110,565","±2,163",6.1%,±0.1,"813,900","±4,897",6.3%,±0.1,"431,922","±4,213",6.4%,±0.1,"209,310","±2,140",6.6%,±0.1,"188,450","±2,421",6.4%,±0.1,"294,403","±3,123",6.6%,±0.1,"298,236","±3,735",6.4%,±0.1,"107,649","±1,885",7.9%,±0.1,"402,402","±3,998",6.5%,±0.1,"463,504","±4,086",6.6%,±0.1,"705,496","±4,440",7.0%,±0.1,"368,030","±3,163",6.5%,±0.1,"192,016","±3,094",6.5%,±0.1,"411,935","±3,903",6.7%,±0.1,"78,814","±1,221",7.3%,±0.1,"122,647","±1,876",6.3%,±0.1,"183,544","±2,173",6.0%,±0.1,"103,743","±1,669",7.6%,±0.1,"607,381","±5,493",6.6%,±0.1,"138,459","±2,697",6.6%,±0.1,"1,311,628","±6,683",6.5%,±0.1,"659,544","±5,720",6.4%,±0.1,"46,996","±1,310",6.1%,±0.2,"798,875","±5,591",6.8%,±0.1,"242,256","±2,359",6.1%,±0.1,"278,390","±3,155",6.6%,±0.1,"915,659","±5,531",7.1%,±0.1,"78,087","±2,158",7.2%,±0.2,"341,401","±3,691",6.7%,±0.1,"59,450","±1,180",6.7%,±0.1,"446,339","±4,671",6.5%,±0.1,"1,556,452","±7,086",5.4%,±0.1,"151,574","±2,142",4.7%,±0.1,"50,118",±966,7.8%,±0.2,"539,436","±4,551",6.3%,±0.1,"484,625","±3,973",6.4%,±0.1,"132,772","±1,981",7.4%,±0.1,"406,416","±3,096",6.9%,±0.1,"39,265","±1,182",6.8%,±0.2,"220,552","±2,736",6.7%,±0.1
65 to 74 years,"511,902",±879,10.2%,±0.1,"61,465",±331,8.4%,±0.1,"731,373",±390,10.3%,±0.1,"300,307",±666,10.0%,±0.1,"3,363,447",±816,8.5%,±0.1,"518,368",±615,9.1%,±0.1,"357,409",±373,9.9%,±0.1,"113,956",±142,11.6%,±0.1,"48,972",±90,7.2%,±0.1,"2,442,673","±1,001",11.4%,±0.1,"924,763","±1,461",8.7%,±0.1,"155,654",±186,10.7%,±0.1,"178,019",±445,9.8%,±0.1,"1,190,287",±669,9.3%,±0.1,"636,561",±912,9.4%,±0.1,"313,218",±541,9.9%,±0.1,"273,373",±682,9.3%,±0.1,"450,280",±873,10.0%,±0.1,"443,472",±823,9.5%,±0.1,"171,259",±325,12.6%,±0.1,"569,778",±463,9.3%,±0.1,"682,920",±409,9.8%,±0.1,"1,046,906",±694,10.4%,±0.1,"535,592",±525,9.4%,±0.1,"288,178",±763,9.7%,±0.1,"611,609",±772,10.0%,±0.1,"125,468",±351,11.6%,±0.1,"179,998",±506,9.2%,±0.1,"301,849",±423,9.9%,±0.1,"154,122",±352,11.2%,±0.1,"866,918",±473,9.4%,±0.1,"224,882",±506,10.7%,±0.1,"1,929,865",±668,9.6%,±0.1,"1,030,725","±1,211",9.9%,±0.1,"67,692",±468,8.8%,±0.1,"1,196,942",±924,10.2%,±0.1,"367,032",±471,9.3%,±0.1,"461,354",±710,11.0%,±0.1,"1,374,891",±593,10.6%,±0.1,"110,114",±396,10.1%,±0.1,"561,298",±640,11.1%,±0.1,"88,456",±290,10.0%,±0.1,"683,206",±883,10.0%,±0.1,"2,233,217","±1,675",7.7%,±0.1,"220,564",±434,6.8%,±0.1,"77,359",±270,12.1%,±0.1,"803,270","±1,113",9.4%,±0.1,"732,246",±621,9.6%,±0.1,"217,726",±553,12.1%,±0.1,"599,187",±563,10.2%,±0.1,"60,497",±393,10.5%,±0.1,"378,237",*****,11.4%,*****
75 to 84 years,"248,809","±2,212",5.0%,±0.1,"22,095",±594,3.0%,±0.1,"379,268","±2,478",5.4%,±0.1,"150,237","±1,398",5.0%,±0.1,"1,581,471","±6,159",4.0%,±0.1,"212,622","±2,017",3.7%,±0.1,"173,149","±2,150",4.8%,±0.1,"53,708",±930,5.5%,±0.1,"23,968",±736,3.5%,±0.1,"1,359,110","±5,752",6.4%,±0.1,"408,963","±3,578",3.8%,±0.1,"73,914","±1,271",5.1%,±0.1,"80,285","±1,206",4.4%,±0.1,"567,251","±3,379",4.4%,±0.1,"293,573","±2,820",4.3%,±0.1,"153,189","±1,388",4.8%,±0.1,"128,191","±1,774",4.4%,±0.1,"209,934","±1,863",4.7%,±0.1,"200,049","±2,336",4.3%,±0.1,"77,635","±1,398",5.7%,±0.1,"266,730","±2,025",4.3%,±0.1,"314,284","±3,119",4.5%,±0.1,"478,070","±3,073",4.8%,±0.1,"250,322","±2,010",4.4%,±0.1,"137,072","±1,741",4.6%,±0.1,"299,669","±2,134",4.9%,±0.1,"56,604","±1,005",5.3%,±0.1,"84,545","±1,070",4.3%,±0.1,"136,718","±1,511",4.5%,±0.1,"67,763","±1,093",4.9%,±0.1,"428,642","±3,256",4.6%,±0.1,"103,127","±1,379",4.9%,±0.1,"948,788","±5,579",4.7%,±0.1,"474,201","±2,912",4.6%,±0.1,"33,554",±694,4.3%,±0.1,"563,390","±3,304",4.8%,±0.1,"182,204","±1,601",4.6%,±0.1,"198,601","±2,288",4.7%,±0.1,"666,554","±3,839",5.1%,±0.1,"53,719","±1,091",4.9%,±0.1,"254,150","±2,492",5.0%,±0.1,"39,629",±777,4.5%,±0.1,"324,326","±2,603",4.7%,±0.1,"1,003,614","±5,023",3.5%,±0.1,"101,510","±1,390",3.1%,±0.1,"34,149",±651,5.3%,±0.1,"381,237","±2,482",4.4%,±0.1,"314,679","±2,464",4.1%,±0.1,"102,538","±1,238",5.7%,±0.1,"274,164","±2,448",4.7%,±0.1,"26,240",±617,4.6%,±0.1,"236,797","±2,311",7.2%,±0.1
85 years and over,"83,716","±2,246",1.7%,±0.1,"6,628",±476,0.9%,±0.1,"133,218","±2,533",1.9%,±0.1,"54,817","±1,364",1.8%,±0.1,"724,961","±6,162",1.8%,±0.1,"88,264","±1,931",1.5%,±0.1,"89,621","±2,130",2.5%,±0.1,"18,711",±942,1.9%,±0.1,"10,259",±760,1.5%,±0.1,"545,182","±5,743",2.6%,±0.1,"146,106","±3,232",1.4%,±0.1,"39,221","±1,264",2.7%,±0.1,"28,794","±1,048",1.6%,±0.1,"255,197","±3,471",2.0%,±0.1,"127,413","±2,786",1.9%,±0.1,"74,135","±1,305",2.3%,±0.1,"62,464","±1,657",2.1%,±0.1,"74,637","±1,762",1.7%,±0.1,"78,925","±2,329",1.7%,±0.1,"31,927","±1,305",2.4%,±0.1,"113,382","±1,945",1.8%,±0.1,"158,827","±3,087",2.3%,±0.1,"208,080","±3,003",2.1%,±0.1,"115,603","±1,906",2.0%,±0.1,"47,681","±1,629",1.6%,±0.1,"122,558","±2,213",2.0%,±0.1,"20,382",±952,1.9%,±0.1,"41,228","±1,122",2.1%,±0.1,"43,840","±1,492",1.4%,±0.1,"28,251","±1,086",2.1%,±0.1,"198,956","±3,307",2.2%,±0.1,"41,532","±1,397",2.0%,±0.1,"451,506","±5,603",2.2%,±0.1,"181,309","±2,666",1.7%,±0.1,"16,952",±701,2.2%,±0.1,"244,470","±3,281",2.1%,±0.1,"66,596","±1,614",1.7%,±0.1,"83,170","±2,198",2.0%,±0.1,"320,345","±3,837",2.5%,±0.1,"24,753","±1,109",2.3%,±0.1,"86,049","±2,494",1.7%,±0.1,"18,699",±681,2.1%,±0.1,"110,658","±2,508",1.6%,±0.1,"383,967","±4,682",1.3%,±0.1,"36,094","±1,368",1.1%,±0.1,"13,623",±625,2.1%,±0.1,"144,093","±2,245",1.7%,±0.1,"130,847","±2,493",1.7%,±0.1,"38,611","±1,254",2.1%,±0.1,"123,727","±2,419",2.1%,±0.1,"9,803",±613,1.7%,±0.1,"88,891","±2,312",2.7%,±0.1
Median age (years),39.3,±0.1,(X),(X),35.0,±0.1,(X),(X),38.1,±0.1,(X),(X),38.3,±0.1,(X),(X),37.0,±0.1,(X),(X),37.1,±0.1,(X),(X),41.0,±0.1,(X),(X),41.1,±0.3,(X),(X),34.3,±0.2,(X),(X),42.3,±0.2,(X),(X),37.1,±0.1,(X),(X),39.6,±0.1,(X),(X),36.8,±0.1,(X),(X),38.5,±0.2,(X),(X),37.9,±0.2,(X),(X),38.3,±0.2,(X),(X),37.0,±0.2,(X),(X),39.0,±0.1,(X),(X),37.4,±0.1,(X),(X),44.7,±0.1,(X),(X),38.9,±0.1,(X),(X),39.6,±0.1,(X),(X),39.8,±0.1,(X),(X),38.2,±0.1,(X),(X),37.8,±0.2,(X),(X),38.8,±0.2,(X),(X),40.0,±0.2,(X),(X),36.7,±0.1,(X),(X),38.3,±0.2,(X),(X),43.0,±0.1,(X),(X),40.0,±0.1,(X),(X),38.3,±0.2,(X),(X),39.2,±0.1,(X),(X),39.0,±0.1,(X),(X),35.2,±0.2,(X),(X),39.4,±0.1,(X),(X),36.8,±0.1,(X),(X),39.6,±0.1,(X),(X),40.8,±0.1,(X),(X),40.0,±0.2,(X),(X),39.8,±0.1,(X),(X),37.1,±0.2,(X),(X),38.8,±0.1,(X),(X),35.0,±0.1,(X),(X),31.3,±0.1,(X),(X),42.7,±0.2,(X),(X),38.5,±0.1,(X),(X),37.9,±0.1,(X),(X),42.6,±0.1,(X),(X),39.6,±0.2,(X),(X),38.2,±0.2,(X),(X),43.1,±0.1,(X),(X)
Under 18 years,"1,122,381",±605,22.5%,±0.1,"182,734",±209,24.8%,±0.1,"1,614,435",±260,22.8%,±0.1,"705,785",±506,23.5%,±0.1,"8,992,432",±416,22.8%,±0.1,"1,262,735",±525,22.1%,±0.1,"744,491",±118,20.6%,±0.1,"207,645",±52,21.1%,±0.1,"125,022",±79,18.3%,±0.1,"4,261,313",±489,20.0%,±0.1,"2,532,197",±843,23.8%,±0.1,"311,020",±52,21.4%,±0.1,"458,830",±350,25.3%,±0.1,"2,887,351",±742,22.5%,±0.1,"1,592,087",±474,23.6%,±0.1,"742,175",±481,23.3%,±0.1,"714,151",±510,24.4%,±0.1,"1,021,909",±888,22.7%,±0.1,"1,101,083",±343,23.6%,±0.1,"254,585",±157,18.8%,±0.1,"1,373,149",±187,22.3%,±0.1,"1,389,724",±260,19.9%,±0.1,"2,188,856",±334,21.8%,±0.1,"1,323,569",±265,23.3%,±0.1,"706,054",±484,23.8%,±0.1,"1,392,375",±717,22.7%,±0.1,"232,815",±303,21.6%,±0.1,"485,910",±355,24.9%,±0.1,"694,030",±358,22.7%,±0.1,"260,615",±168,19.0%,±0.1,"2,040,442",±364,22.1%,±0.1,"485,326",±405,23.0%,±0.1,"4,217,396",±438,21.0%,±0.1,"2,302,315",±665,22.2%,±0.1,"184,458",±314,23.9%,±0.1,"2,629,989",±485,22.3%,±0.1,"961,070",±426,24.3%,±0.1,"873,486",±359,20.8%,±0.1,"2,704,482",±273,20.9%,±0.1,"212,663",±86,19.5%,±0.1,"1,109,803",±408,21.9%,±0.1,"218,698",±403,24.8%,±0.1,"1,534,243",±698,22.4%,±0.1,"7,446,176",±960,25.8%,±0.1,"946,063",±310,29.3%,±0.1,"118,889",±135,18.5%,±0.1,"1,892,752",±909,22.1%,±0.1,"1,680,460",±337,22.1%,±0.1,"366,495",±516,20.3%,±0.1,"1,292,944",±205,22.0%,±0.1,"134,467",±282,23.3%,±0.1,"597,277",*****,18.0%,*****
16 years and over,"4,005,499","±1,780",80.1%,±0.1,"572,165",±495,77.7%,±0.1,"5,650,624","±2,102",79.8%,±0.1,"2,382,255","±1,257",79.2%,±0.1,"31,499,704","±4,287",79.8%,±0.1,"4,606,399","±1,807",80.5%,±0.1,"2,954,661","±1,382",82.0%,±0.1,"798,798",±779,81.4%,±0.1,"568,405",±559,83.2%,±0.1,"17,577,024","±3,962",82.4%,±0.1,"8,385,039","±3,263",78.9%,±0.1,"1,174,511",±707,80.8%,±0.1,"1,405,245","±1,187",77.6%,±0.1,"10,275,978","±2,858",80.1%,±0.1,"5,343,229","±2,139",79.1%,±0.1,"2,523,649","±1,319",79.4%,±0.1,"2,299,477","±1,221",78.4%,±0.1,"3,588,209","±1,829",79.8%,±0.1,"3,679,521","±1,956",79.0%,±0.1,"1,134,793",±663,83.6%,±0.1,"4,931,565","±2,050",80.2%,±0.1,"5,773,906","±1,782",82.6%,±0.1,"8,136,493","±2,044",80.9%,±0.1,"4,495,952","±1,624",79.3%,±0.1,"2,344,417","±1,377",79.0%,±0.1,"4,910,777","±1,883",80.0%,±0.1,"872,599",±815,80.9%,±0.1,"1,519,415",±980,77.9%,±0.1,"2,443,108","±1,471",79.9%,±0.1,"1,144,768",±828,83.4%,±0.1,"7,436,293","±2,491",80.5%,±0.1,"1,682,568","±1,179",79.8%,±0.1,"16,383,427","±3,165",81.4%,±0.1,"8,336,531","±3,026",80.4%,±0.1,"607,971",±603,78.6%,±0.1,"9,449,482","±2,215",80.3%,±0.1,"3,094,226","±1,213",78.4%,±0.1,"3,434,262","±1,459",81.6%,±0.1,"10,587,037","±2,689",81.6%,±0.1,"906,304",±634,83.0%,±0.1,"4,097,365","±1,952",80.7%,±0.1,"686,625",±721,77.9%,±0.1,"5,504,783","±2,072",80.3%,±0.1,"22,261,181","±5,258",77.1%,±0.1,"2,391,727","±1,423",74.0%,±0.1,"537,475",±540,83.8%,±0.1,"6,903,607","±2,528",80.4%,±0.1,"6,120,915","±1,941",80.4%,±0.1,"1,478,714","±1,081",82.1%,±0.1,"4,731,836","±1,449",80.6%,±0.1,"457,128",±608,79.3%,±0.1,"2,797,936","±1,321",84.5%,±0.1
18 years and over,"3,875,294",±604,77.5%,±0.1,"553,217",±209,75.2%,±0.1,"5,464,768",±260,77.2%,±0.1,"2,300,524",±505,76.5%,±0.1,"30,462,921",±416,77.2%,±0.1,"4,460,441",±524,77.9%,±0.1,"2,860,839",±118,79.4%,±0.1,"774,247",±52,78.9%,±0.1,"558,132",±79,81.7%,±0.1,"17,078,449",±489,80.0%,±0.1,"8,093,418",±839,76.2%,±0.1,"1,142,478",±52,78.6%,±0.1,"1,352,787",±350,74.7%,±0.1,"9,934,462",±742,77.5%,±0.1,"5,159,253",±473,76.4%,±0.1,"2,436,915",±475,76.7%,±0.1,"2,217,948",±515,75.6%,±0.1,"3,472,232",±885,77.3%,±0.1,"3,556,222",±345,76.4%,±0.1,"1,102,461",±157,81.2%,±0.1,"4,775,396",±187,77.7%,±0.1,"5,602,128",±260,80.1%,±0.1,"7,873,656",±334,78.2%,±0.1,"4,346,903",±266,76.7%,±0.1,"2,260,969",±483,76.2%,±0.1,"4,749,159",±709,77.3%,±0.1,"845,163",±305,78.4%,±0.1,"1,465,570",±353,75.1%,±0.1,"2,365,208",±358,77.3%,±0.1,"1,111,560",±168,81.0%,±0.1,"7,193,582",±364,77.9%,±0.1,"1,624,040",±405,77.0%,±0.1,"15,897,349",±438,79.0%,±0.1,"8,064,707",±662,77.8%,±0.1,"588,886",±314,76.1%,±0.1,"9,139,934",±485,77.7%,±0.1,"2,987,066",±431,75.7%,±0.1,"3,333,691",±359,79.2%,±0.1,"10,266,168",±274,79.1%,±0.1,"879,286",±86,80.5%,±0.1,"3,969,100",±408,78.1%,±0.1,"663,087",±403,75.2%,±0.1,"5,325,254",±694,77.6%,±0.1,"21,416,405",±959,74.2%,±0.1,"2,285,307",±310,70.7%,±0.1,"522,748",±136,81.5%,±0.1,"6,689,727",±906,77.9%,±0.1,"5,936,904",±337,77.9%,±0.1,"1,434,554",±516,79.7%,±0.1,"4,578,717",±215,78.0%,±0.1,"442,174",±282,76.7%,±0.1,"2,713,997",*****,82.0%,*****
