month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202301,16860,"Chattanooga, TN-GA",98,397950,0.0075,0.1535,1151,-0.0962,1.1831,75,0.1641,0.4608,734,0.5551,0.3297,16,1,-0.2,412,0.1573,2.0294,942,0.0403,-0.1925,194,-0.0013,0.1701,2085,0,0.0472,505111,-0.0254,0.0262,2067,-0.047,0.2362,0.8183,0.1074,-1.3942,1
202301,42140,"Santa Fe, NM",257,728250,-0.0354,0.0293,367,-0.122,0.9418,91,0.1519,-0.0521,122,0.0893,-0.0758,0,-1,-1,100,0.3889,1.5,213,-0.0207,-0.2356,348,-0.0386,0.0632,2335,-0.0152,-0.1248,1413008,-0.0041,-0.1037,578,-0.0862,0.2419,0.579,0.0599,-0.8919,0
202301,15220,"Brownwood, TX",727,292625,0.0397,0.5839,117,-0.0085,0.8,77,-0.0222,0.2165,44,0.2222,0.2222,0,,,36,0.5,2,40,0.0811,-0.2857,153,0.0181,0.2776,1818,-0.0228,0.1313,359653,-0.0395,0.232,158,0.0032,0.2805,0.3419,0.0283,-0.5197,1
202301,13180,"Beaver Dam, WI",424,323250,0.0264,0.1394,67,-0.179,0.1875,78,0.0986,-0.0659,48,1,0.2,0,,,12,0,0.5,54,-0.0847,-0.3721,189,0.0688,0.3269,1689,-0.0192,-0.0071,374006,-0.0448,0.1017,119,-0.15,-0.1314,0.812,0.0836,-0.7237,0
202301,37120,"Ozark, AL",584,213300,0.0735,0.471,66,-0.0833,0.2941,78,0.0646,0.7011,30,-0.25,-0.4643,0,,,20,0.6667,0.6667,25,-0.02,-0.3194,118,0.1095,0.3264,1938,0.1027,0.215,247696,0.0624,0.3719,92,-0.0707,0.0575,0.3712,0.024,-0.3347,1
202301,18220,"Connersville, IN",863,147425,-0.0489,-0.0424,48,-0.0943,0.4118,76,0.3377,0.8373,16,-0.2,0.3333,0,,,10,-0.1667,-0.1667,16,0.0333,-0.38,93,-0.0678,-0.009,1616,-0.0288,0.1222,162854,-0.0944,-0.0832,64,-0.0797,0.0763,0.3229,0.0399,-0.4124,1
202301,16260,"Cedar City, UT",598,435000,-0.0225,0,308,-0.1289,1.3837,108,0.0854,1,96,0.4118,-0.1111,0,,-1,72,-0.1818,2,12,0.5,-0.7778,226,-0.0258,-0.0212,1842,-0.0205,0.0185,520187,-0.0353,-0.0434,319,-0.1089,0.7527,0.039,0.0164,-0.3796,1
202301,32140,"Marshall, MN",843,137500,-0.0108,-0.2947,27,-0.1563,0.1739,88,0.3968,0.2308,10,1.5,-0.1667,0,,,8,0,1,19,-0.1739,-0.0952,84,-0.0068,-0.0968,1755,-0.0009,-0.0296,183878,-0.0122,-0.0352,47,-0.1226,0.0109,0.7037,-0.015,-0.2093,1
202301,30860,"Logan, UT-ID",345,504450,0.0091,0.062,263,-0.1115,2.2875,92,0.2603,1.0909,82,0.7083,-0.0682,0,-1,,56,0,2.5,82,-0.0465,-0.344,201,-0.0061,-0.0446,2548,0.0055,0.0243,610391,-0.0205,-0.2334,348,-0.062,0.7228,0.3118,0.0212,-1.2507,1
202301,11620,"Ardmore, OK",543,223425,-0.0243,0.3749,126,-0.1162,0.2677,78,0.1908,-0.0127,44,0.1,-0.2667,0,,,24,-0.1429,-0.1429,75,0.0714,-0.2925,127,0.0531,0.1764,1692,-0.0331,-0.0242,300619,0.0631,-0.2112,200,-0.0545,-0.0409,0.5976,0.1047,-0.4731,0
202301,28700,"Kingsport-Bristol, TN-VA",156,314950,0.05,0.2608,417,-0.0855,0.6163,70,0.178,0.287,254,0.3511,0.0242,4,,0,146,0.46,0.9211,214,-0.1067,-0.3569,162,0.0082,0.235,1905,0.019,0.0542,421152,0.0126,-0.0412,630,-0.0935,0.0606,0.512,-0.0121,-0.7748,0
202301,46100,"Tullahoma-Manchester, TN",367,384950,-0.0374,0.0145,379,-0.049,1.7831,83,0.1301,0.8539,150,0.7857,0.3889,4,,-0.6667,110,0.1957,3.5833,93,0.0814,-0.0313,199,-0.0026,0.1194,1975,0.0015,-0.022,569409,-0.0018,0.0125,467,-0.0331,1.0043,0.2457,0.0296,-0.4602,1
202301,17740,"Coldwater, MI",666,229675,-0.001,0.1541,84,0.012,0.5,73,0.0357,0.0211,28,0.4,-0.125,0,,,22,0.1,0.375,18,-0.5,-0.4857,126,-0.09,0.0375,1800,0.0227,0,303539,-0.0484,0.0201,104,-0.1303,0.15,0.2143,-0.2194,-0.4107,0
202301,12940,"Baton Rouge, LA",69,323650,0.0083,-0.0192,1889,-0.0817,0.7173,93,0.0814,0.2568,782,0.3299,-0.15,22,-0.3125,-0.6765,528,0.0732,0.8592,844,-0.1557,-0.5194,164,0.0138,0.0572,2003,-0.0037,-0.0342,416321,-0.0014,-0.0428,2729,-0.1055,-0.0431,0.4465,-0.0391,-1.1489,1
202301,17140,"Cincinnati, OH-KY-IN",28,327400,0.0077,0.0917,2064,-0.1284,0.1378,59,0.1298,-0.0042,1706,0.0743,-0.1314,24,0,-0.6,696,0.2701,0.4146,2108,-0.0785,-0.2977,165,-0.0009,0.0372,1799,0.005,0.0772,450936,0.0114,0.0374,4115,-0.1134,-0.1369,1.0211,0.0553,-0.6333,0
202301,44060,"Spokane-Spokane Valley, WA",96,447000,0.0011,-0.0587,781,-0.2071,1.2903,54,-0.069,-0.1818,516,0.6125,-0.0227,24,2,0.2,218,-0.0917,3.5417,601,-0.0491,-0.2459,221,0.0032,-0.0149,2102,-0.0085,0.0329,543693,0.0035,-0.1102,1384,-0.1433,0.2254,0.7695,0.1279,-1.5677,1
202301,20660,"Easton, MD",680,494725,-0.0066,0.0631,89,-0.0729,0.0349,95,0.1595,-0.0308,42,0.5,0.5,6,0.5,,22,1.75,0.8333,49,-0.1091,-0.4368,257,-0.0132,0.0762,2120,-0.0291,0.0667,1344971,-0.0103,0.1558,138,-0.0894,-0.2143,0.5506,-0.0224,-0.4611,0
202301,44860,"Sulphur Springs, TX",750,299472,0.0016,0.2103,92,-0.0266,2.8125,75,0.1288,0.1825,30,0.5,0.0714,0,,,18,-0.1,3.5,32,-0.0588,-0.1795,170,-0.0377,0.3136,1882,0.0668,0.1135,455699,0.0294,0.0523,121,-0.0763,0.9836,0.3497,-0.012,-1.2753,1
202301,25180,"Hagerstown-Martinsburg, MD-WV",172,323223,0.036,0.0596,584,-0.1531,0.603,69,0.0742,0.2061,352,0.2941,0.0864,34,0.4167,-0.5952,122,-0.2179,1.3462,488,0.0328,-0.1624,169,0.0258,0.0423,1861,0.0011,-0.0008,360280,0.0259,0.0652,1072,-0.0771,0.1327,0.8355,0.1504,-0.7634,0
202301,18880,"Crestview-Fort Walton Beach-Destin, FL",170,622604,-0.0195,0.0378,2544,-0.0362,1.3995,89,0.0291,0.2643,936,0.2928,-0.025,104,0.625,-0.2353,810,0.0658,2.6161,1142,-0.055,-0.4496,429,-0.0162,0.1201,1977,-0.0009,0.0245,1262281,-0.0176,0.0485,3675,-0.0432,0.173,0.4488,-0.009,-1.5078,1
202301,39340,"Provo-Orem, UT",115,556950,0.0128,0.0061,1745,-0.1665,2.6118,96,0.073,0.8019,592,0.3455,-0.1957,96,0.7143,-0.6129,652,0.0654,6.7619,1376,-0.0627,-0.4748,210,0.002,0.0086,2829,0.0243,-0.0515,757850,0.0194,-0.1868,3119,-0.1236,0.0013,0.7888,0.0874,-4.6357,1
202301,18580,"Corpus Christi, TX",133,318500,0.0127,0.0994,1353,-0.0404,0.64,84,0.0705,0.2748,532,0.4301,0.031,12,0,-0.625,448,0.5342,1.3333,442,-0.0616,-0.381,178,0.0094,0.0734,1740,0.0029,0.0026,428149,0.002,0.0621,1807,-0.0391,0.1761,0.3267,-0.0074,-0.5388,0
202301,37770,"Pearsall, TX",916,202500,0.0658,0.1281,17,-0.0294,-0.0294,115,-0.0537,0.8175,2,,-0.75,0,,,4,0,0,7,0,0.1667,110,-0.2031,-0.1943,1790,0.0142,0.5606,306513,-0.0595,0.1557,23,0,0.0455,0.4242,0.0125,0.0713,1
202301,22780,"Fort Leonard Wood, MO",675,199250,-0.0395,0.0963,105,-0.1532,0.5,74,0.2826,0.3053,50,0.3889,-0.4048,0,,,20,0,4,78,0.1818,-0.3445,102,-0.0087,0.0386,1725,-0.0374,0.0147,216385,-0.0279,-0.0828,182,-0.0497,-0.0346,0.7429,0.2106,-0.9571,0
202301,37740,"Payson, AZ",563,457500,-0.0348,0.0167,214,-0.1214,1.135,88,0.0938,0.3359,82,1.2778,-0.1458,2,,-0.5,56,0.1667,2.5,69,-0.0676,-0.3894,283,-0.0065,0.1087,1647,-0.0312,-0.0721,565391,-0.0236,-0.1122,283,-0.1032,0.3263,0.3232,0.0187,-0.8068,0
202301,41940,"San Jose-Sunnyvale-Santa Clara, CA",37,1349000,-0.033,0.0393,827,-0.1385,0.6878,55,0.0283,0.2976,748,0.9479,-0.3392,18,-0.1,-0.55,176,-0.3016,3,456,-0.2992,-0.4764,820,0.0072,-0.0095,1684,-0.0211,0.0603,1946372,-0.0418,0.002,1283,-0.2034,0.0203,0.5508,-0.1263,-1.2247,1
202301,18780,"Craig, CO",923,295000,0,0.2297,40,-0.2593,-0.3103,106,0.1398,0.0816,8,1,-0.5,0,,,0,-1,-1,1,0,0,177,0,0.2008,1706,-0.1117,0.1578,456844,0.0462,-0.148,41,-0.25,-0.3017,0.025,0.0065,0.0078,0
202301,36340,"Oil City, PA",569,125725,-0.0292,0.3241,94,-0.06,0.0682,91,0.0928,0.0027,12,-0.4,-0.5,0,,,10,0.25,-0.375,30,-0.1806,-0.314,81,-0.0501,0.3127,1565,0.0107,0.0149,190156,-0.0177,0.3517,123,-0.0956,-0.0538,0.3138,-0.0462,-0.1748,0
202301,31860,"Mankato, MN",386,369300,0.1194,0.1936,99,-0.2205,0.0313,92,0.1677,0.0027,46,1.3,-0.1786,0,,,22,0.375,0.375,61,-0.0082,-0.2342,161,0.0288,0.1949,2389,0.0089,0.0144,390934,0.0563,0.0638,161,-0.1436,-0.0747,0.6111,0.1308,-0.2118,0
202301,27620,"Jefferson City, MO",287,247475,-0.0097,0.2691,129,-0.1623,0.075,74,0.05,0.3611,88,0.2222,-0.2667,0,,,34,0.2143,1.125,92,-0.2246,2.3889,128,0.0435,0.1091,1800,-0.0272,0.0004,308797,-0.0355,0.1206,220,-0.1941,0.4865,0.7093,-0.0569,0.4843,0
202301,17300,"Clarksville, TN-KY",169,351450,0.0041,0.0432,1248,-0.0235,1.5521,66,0.1491,0.4556,522,0.125,-0.1358,22,0.1,-0.6333,348,-0.2564,3.5789,342,0.114,-0.4571,183,0.0096,0.0861,2046,-0.002,-0.0308,389365,0.0164,0.0278,1568,-0.0166,0.3996,0.274,0.0338,-1.0143,1
202301,24100,"Gloversville, NY",547,209975,0.0504,0.0659,109,-0.0482,0.0534,103,0.1048,0.0173,32,1,-0.2,2,,,14,-0.3,-0.125,64,-0.216,-0.443,125,0.002,0.2027,1520,0.0002,-0.1545,268254,0.018,0.0898,171,-0.1211,-0.1919,0.5853,-0.1253,-0.5215,0
202301,15420,"Burley, ID",677,396516,0.0174,0.1594,93,-0.1545,1.5135,89,0.05,0.5127,30,0.0714,-0.0625,0,,,20,1.5,4,29,0.2083,-0.3696,199,0.0141,0.0676,1998,-0.0006,0.0193,422857,0.0078,-0.1338,123,-0.0752,0.4471,0.3118,0.0936,-0.9314,1
202301,27530,"Jasper, AL",507,293950,0.014,0.3837,144,-0.0801,0.4069,71,-0.024,-0.2083,40,0.25,0.25,4,,,30,0.5,1.5,47,0.3056,-0.0962,144,0.0475,0.404,1998,-0.005,0.1643,457993,0.0934,0.4617,188,-0.0259,0.2703,0.3275,0.0968,-0.1823,0
202301,25060,"Gulfport-Biloxi, MS",129,284000,0.0327,0.136,1119,-0.079,0.5542,96,0.1163,0.4328,428,0.3544,-0.219,24,5,-0.25,302,0.1269,0.9359,659,-0.0422,-0.2274,143,0.0068,0.0969,1861,-0.0059,-0.0159,360438,0.0169,0.0466,1771,-0.0652,0.1423,0.5889,0.0227,-0.5958,0
202301,18500,"Corning, NY",384,174950,-0.0414,0.0297,124,-0.1507,-0.1206,93,0.0756,0.1563,58,0.8125,0.0357,0,,,24,0.2,-0.1429,65,-0.0152,-0.3158,97,0.0273,0.0277,1848,-0.043,0.0599,293582,-0.0336,0.1862,188,-0.1156,-0.2122,0.5242,0.0721,-0.1496,0
202301,43660,"Snyder, TX",919,172000,0.0424,0.0118,37,-0.0135,-0.1889,94,-0.0938,0.2567,16,3,0,0,,,2,-0.5,-0.75,10,-0.1667,0.1111,92,0.0323,-0.0055,1766,0.0201,0.0227,206200,0.0717,0.0429,47,-0.0313,-0.1545,0.274,-0.0504,0.074,0
202301,22500,"Florence, SC",224,260473,-0.0349,0.1227,531,-0.0257,0.0948,85,0.0974,0.3203,140,0.3462,-0.0789,38,,-0.05,92,0.3529,1.3,46,-0.1481,-0.2459,129,-0.0141,0.0829,1958,-0.0018,0.027,279456,-0.0167,0.0459,574,-0.0433,0.0571,0.0866,-0.0125,-0.0391,0
202301,39500,"Quincy, IL-MO",455,130000,0.0039,0.0008,103,-0.0463,-0.0374,74,0.0278,0.2759,62,0.4091,0.7222,0,,,34,0.7,1.8333,61,0.3444,1.2407,89,0.0826,-0.0555,1593,-0.0022,0.0009,187481,0.0952,-0.0959,154,0.0694,0.1407,0.5874,0.1707,0.335,1
202301,37620,"Parkersburg-Vienna, WV",406,165000,-0.0782,0.0649,109,-0.1417,0.1354,76,0.2459,0.1692,48,0,0.3333,0,,,30,0.25,0.875,76,0.1797,-0.2216,100,-0.012,0.1249,1804,-0.0525,0.0624,257342,0.034,-0.1632,186,-0.0363,-0.0159,0.6927,0.1887,-0.3178,0
202301,27380,"Jacksonville, TX",618,255000,0,0.288,118,-0.136,0.9583,96,0.1399,0.2276,42,0.75,0.3125,0,,,36,0.5,2,31,0.069,-0.5079,154,-0.0022,0.2486,1684,0.0093,-0.0212,332666,-0.0119,-0.0419,148,-0.092,0.2231,0.2638,0.0506,-0.7862,0
202301,45660,"Tiffin, OH",565,133325,-0.093,0.0668,43,-0.2273,0.25,60,0.19,-0.0985,20,-0.375,0,0,,-1,10,-0.1667,-0.1667,37,-0.0263,-0.1957,98,-0.0483,0.2266,1476,-0.0054,-0.0587,137385,-0.0654,-0.0973,79,-0.1319,-0.0706,0.8706,0.1797,-0.4824,0
202301,20500,"Durham-Chapel Hill, NC",89,460978,0.0043,0.0087,981,-0.1477,1.0269,78,0.0868,0.3491,522,0.3454,0.0966,14,-0.6111,-0.65,326,0.1319,3.5278,874,-0.0284,1.2114,238,0.0105,-0.0113,2070,-0.0014,0.0872,661835,0.0159,0.0514,1851,-0.0973,1.1796,0.8904,0.1094,0.0743,0
202301,15620,"Cadillac, MI",587,181125,0.0122,0.0977,70,-0.2102,0.0859,80,0.07,-0.0093,30,0.875,-0.25,2,,,12,-0.25,0,40,-0.21,-0.2547,127,-0.0098,0.1342,1522,0.0147,-0.0117,248922,0.0194,0.1018,109,-0.2138,-0.0313,0.5683,0.0002,-0.2598,0
202301,29940,"Lawrence, KS",325,376150,0.0747,-0.01,120,-0.1367,0.6438,66,0.0605,0.0779,64,0.0667,0.2308,2,,,14,-0.3,0.1667,56,-0.2533,-0.4105,179,0.0164,0.001,2168,0.0837,0.0837,465181,0.0794,0.0228,176,-0.1889,0.0292,0.4667,-0.0729,-0.8347,0
202301,32500,"Maysville, KY",906,184900,-0.098,-0.075,17,0.1333,0.7,126,0.125,0.68,2,,-0.5,0,,,0,-1,-1,4,-0.3,-0.3,98,-0.1305,-0.0228,2406,-0.0008,-0.0422,237659,-0.1314,-0.1958,20,0,0.3333,0.2059,-0.1275,-0.2941,1
202301,18180,"Concord, NH",279,464475,-0.0323,0.1062,133,-0.24,0.5647,71,0.1777,0.3971,76,0,0,2,,,24,-0.4,5,70,-0.2045,-0.3694,237,0.0029,0.072,2042,-0.0032,0.0842,522493,-0.0279,-0.0051,203,-0.2281,0.0201,0.5263,0.0235,-0.7796,0
202301,11820,"Astoria, OR",641,601950,-0.0275,0.0947,130,-0.0407,0.7986,99,0.1067,0.3401,52,0.8571,-0.0714,0,,-1,30,-0.1667,-0.1667,60,-0.162,-0.2917,341,-0.0091,0.0573,1750,0.0046,0.027,666240,-0.07,-0.0507,185,-0.1172,0.1981,0.4595,-0.0665,-0.7072,0
202301,32000,"Marion, NC",623,392225,-0.0192,-0.017,77,-0.0893,0.3421,80,0.1866,-0.1632,20,-0.2857,0,0,,,24,0.5,1,43,0.0897,-0.1827,235,-0.0301,0.1862,1644,-0.0542,-0.0308,532685,0.0048,0.1445,118,-0.0328,0.1028,0.5556,0.0913,-0.3567,0
202301,33620,"Moberly, MO",872,162300,0.015,0.1916,44,-0.1122,0.0116,76,-0.1118,0.495,22,0.375,-0.2143,2,,,6,-0.25,0.5,1,-0.6667,-0.5,99,-0.0237,0.0601,1598,0,0.0949,221799,-0.5978,0.4323,45,-0.1759,-0.0111,0.023,-0.0382,-0.0235,0
202301,21380,"Emporia, KS",738,191150,-0.0676,0.4715,31,-0.0161,0.0517,55,0.0377,0.4474,32,0.3333,0.6,0,,,8,0,0,16,0.2917,4.1667,106,0.1166,0.2728,1729,-0.0171,0.2202,233202,0.0473,0.562,47,0.119,0.4688,0.5082,0.1211,0.4047,0
202301,24940,"Greenwood, SC",475,282450,0.0234,-0.036,142,-0.0897,0.5106,80,-0.0124,-0.1804,68,0,-0.0556,2,,-0.9375,34,-0.0556,7.5,54,0.2,-0.28,135,-0.0304,-0.0383,1691,-0.0056,-0.195,365092,0.0574,0.1766,194,-0.0348,0.1617,0.3803,0.0918,-0.4176,0
202301,46620,"Uvalde, TX",862,332425,-0.0892,0.2088,84,0.057,1.3194,95,0.1243,0.8269,26,0.3,0.3,0,,,12,0,2,17,-0.2826,-0.175,165,-0.0188,0.2681,1900,-0.1196,0.1473,428251,-0.0874,0.2086,98,-0.0297,0.7193,0.1976,-0.0935,-0.358,1
202301,28060,"Kalispell, MT",352,713500,0.0207,0.4273,634,-0.0559,0.5119,134,0.0308,0.0593,168,1.1,0.4483,4,,0,74,-0.1591,2.7,166,-0.0207,-0.4954,389,0.0417,0.0768,2010,-0.0032,0.3032,1387449,0.0525,0.143,803,-0.0458,0.0859,0.2612,0.0094,-0.5216,0
202301,29780,"Las Vegas, NM",774,255400,-0.0362,0.1104,73,0.0139,0.8718,105,0.2069,0.3636,14,0.75,0.1667,0,,,8,0,1,6,-0.3333,-0.4,154,-0.0278,0.2551,1603,-0.0108,-0.1627,452845,-0.0302,0.3143,79,-0.0366,0.5192,0.0822,-0.0428,-0.1742,0
202301,22620,"Forrest City, AR",888,128100,0.1752,0.0248,38,-0.1848,0.5625,125,0.2576,0.2969,12,0.5,2,0,,,4,0,,9,-0.0556,1.125,70,0.0273,-0.0051,1408,0.0285,-0.2424,180088,0.0685,0.0795,47,-0.1389,0.6034,0.2267,0.031,0.06,1
202301,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6,319450,-0.0017,0.0652,8896,-0.0896,0.271,73,0.1061,0.1231,5202,0.2688,-0.0657,330,0.4224,-0.503,2696,0.1233,0.7107,6050,-0.0919,-0.3529,200,0.0008,0.0316,1543,-0.0109,0.0259,491854,0.0076,0.0342,14942,-0.0898,-0.0726,0.6801,-0.0017,-0.6558,0
202301,30020,"Lawton, OK",350,186000,0.014,0.6924,298,-0.0703,0.6081,70,0.1434,0.0898,150,0.2097,0.0135,4,0,0,48,0.0909,0.7143,242,0.0063,-0.3384,104,0.017,0.2858,1700,0,0.2143,216675,0.032,0.2786,538,-0.057,-0.0138,0.8118,0.0618,-1.1612,1
202301,24500,"Great Falls, MT",420,408500,0.0086,0.1673,80,-0.0862,0.8068,68,-0.0556,0.2364,70,0.9444,0.4583,0,,,26,0.3,5.5,86,0.1026,-0.181,186,0.0634,0.2025,2321,-0.0095,0.004,572680,0.0271,-0.0032,166,0.0184,0.0921,1.0818,0.1852,-1.3046,1
202301,48100,"Wauchula, FL",891,302425,0.0503,-0.2344,32,0.125,0.8529,130,-0.1906,0.349,18,1.25,0.125,0,,,6,-0.25,,7,-0.0714,-0.5938,157,-0.0281,-0.059,1966,0.2682,-0.067,424220,0.0462,-0.1051,38,0.0556,0.1515,0.2063,-0.0437,-0.7348,1
202301,43500,"Silver City, NM",809,282000,0.0464,-0.0591,79,-0.0482,0.4107,117,0.2802,0.0264,24,0.5,0.2,0,,,12,0.5,2,12,-0.1786,-0.7051,162,0.025,0.0056,1890,0.1389,0.0269,460921,0.0301,0.0433,89,-0.0825,-0.043,0.1456,-0.0231,-0.5509,0
202301,39780,"Red Bluff, CA",518,399338,0.0008,-0.0003,191,-0.1279,0.5917,98,0.12,0.5077,84,1.1,0.5,0,,-1,48,-0.1429,2,44,-0.0222,-0.3889,247,-0.0051,0.0099,1697,0,0.0567,514617,-0.0109,-0.199,233,-0.1038,0.2135,0.2304,0.0249,-0.3696,1
202301,31140,"Louisville/Jefferson County, KY-IN",44,296400,0.0221,0.14,1949,-0.1147,0.3703,56,0.0882,0.1684,1466,0.553,0.0412,52,1.6,-0.48,752,0.033,1.0889,1129,-0.0761,-0.3107,162,0.0082,0.0362,1800,-0.0072,0.0942,359913,0.0107,0.0196,3076,-0.1005,0.0113,0.5794,0.0242,-0.5725,0
202301,15660,"Calhoun, GA",570,293950,0.0017,0.0318,141,-0.0784,1.2381,85,0.1267,-0.1198,68,0.8889,0.1333,0,,-1,36,0,2,71,-0.1647,-0.3932,162,0.037,0.1049,1918,-0.0013,-0.0422,408180,-0.0085,-0.0991,207,-0.1191,0.1761,0.5035,-0.052,-1.3536,1
202301,36500,"Olympia-Lacey-Tumwater, WA",168,546195,0.0042,0.1147,382,-0.1767,2.1311,71,0.1736,0.8684,210,0.5441,-0.0948,2,-0.5,-0.5,146,0.46,4.2143,211,0.0473,-0.3679,275,-0.0025,0.0014,2058,0.028,0.1125,678554,0.0859,0.1675,593,-0.109,0.3022,0.551,0.1179,-2.1785,1
202301,14860,"Bridgeport-Stamford-Norwalk, CT",62,807425,0.0105,0.0273,1251,-0.1196,-0.004,81,0.0385,-0.0471,718,0.6776,-0.1329,16,1,-0.7143,216,0.1739,0.5882,1021,-0.127,-0.4081,341,0.0096,-0.0562,2382,-0.0227,0.1267,1940633,-0.0006,-0.0129,2264,-0.1228,-0.2362,0.8157,-0.0069,-0.5569,0
202301,28660,"Killeen-Temple, TX",121,309900,0.008,0.1478,1371,-0.0673,2.589,73,0.1231,0.1774,680,0.2977,-0.3254,22,0.375,-0.5769,444,-0.0513,4.55,648,0.0109,-0.3299,165,0.0155,0.1694,1945,0.0013,0.0088,398817,-0.0006,-0.0315,2017,-0.0384,0.4849,0.4726,0.0366,-2.0588,1
