RegionID,SizeRank,RegionName,RegionType,StateName,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
102001,0,United States,country,,14258.381591544836,14548.211010528847,14731.517740887044,14680.200437322555,14304.95052390352,13787.070551106735,13520.840041055393,13440.920381896989,13285.319782819397,12904.493284444174,12932.905022957044,13229.887644546712,13789.797767230879,14120.577037015959,14470.96093828252,14549.80480011965,14309.375776738438,13857.37492291875,13625.930675004764,13349.26263788464,13064.322912715523,12475.815979570072,12664.538889752846,13786.680509032987,14661.999717807666,14448.713233099217,13830.782198993396,13953.149617437564,14974.560447349795,15781.289818574272,16477.981072674836,16718.611289442826,16556.311822279218,16300.977596884179,16874.88228189213,18122.30371938785,19875.305991890764,21586.797234361966,23115.312111211475,23689.228493274073,22964.542313330458,21575.509436187003,20421.152118737486,19641.762854691482,19011.15486272536,18168.827634741898,18457.06906415657,20170.0261143677,22889.5912848873,24704.18187492111,25725.44899592771,25788.71892938967,24905.396021127788,23115.777263170316,21404.676578584334,20607.497430534364,19934.720759174186,19026.07824491053,18722.672074343234
394913,1,"New York, NY",msa,NY,33889.42290346751,33890.66186292487,33509.03085285872,31791.32230683354,30313.680476887548,28481.768885836384,28534.117807831553,28668.78020723614,28870.29337645514,27877.448299491618,28171.283677940748,28570.009161564074,29411.482978893688,29695.964765995213,29912.890946149215,29512.79027443549,28157.55987361121,26788.86706231673,27077.754360383497,27310.124569229756,27711.63935089033,26980.512959099196,27367.609942515275,28484.73323316065,29108.963069417296,28320.50477053909,27924.400594575138,27684.706918691067,29476.257075479396,30835.586220645095,33448.64486977554,34474.25324133313,35359.28590800304,34711.421422041785,35719.53063803999,37288.15190533264,40154.61140458793,42658.41331594759,43605.48940036077,42941.11845549572,40668.08238640412,38428.13749564033,37949.091909963514,37206.49409044069,36820.95394161174,34598.68504135078,35576.82759521622,,56876.747461688996,58437.77904969936,52047.726688622664,45156.1129602432,43861.57663337759,40684.3587192143,38780.40076072838,38459.472213072986,38384.58059547734,36810.33569243695,36665.853175248
753899,2,"Los Angeles, CA",msa,CA,48474.7708194464,47179.900108289505,47060.825119175664,45826.82743193565,42890.88295152564,39066.16588275301,37666.61861911999,37632.153090289175,39092.12662115455,37798.38990363601,38610.932488162085,38802.381088990805,40870.51831940591,41522.378580439145,42793.111302267724,43538.606691631285,43340.90018140373,42456.88492590854,42987.14378305871,42929.572992692694,45117.93960884665,43639.294546735364,47602.2913613433,54208.1075875568,58943.231927839304,55375.174606793524,47112.832787553714,46423.76335547276,51056.098656642636,58287.91550206929,60924.15476933188,60522.37443036193,58543.618815830065,58861.90353240116,64527.97596102755,70196.29009264383,77003.06307356659,79927.4190125285,80454.95021780505,78903.88163014097,73789.4625371879,68063.10216577495,61897.13647406217,61027.614191230765,61302.89358016045,60869.49761137148,68262.491234007,77877.54047737962,85179.37195775635,81808.38760684931,75068.56583326925,69518.39809887389,61747.94547100656,56103.46517688967,52673.13197929785,52702.31767331066,52932.88784397268,51021.765408501386,53088.57036792385
394463,3,"Chicago, IL",msa,IL,12586.378001978796,13341.817778228986,13645.754670346227,13612.329849143533,12981.662975822865,12095.269009156496,11660.396987985887,11151.676130319387,10750.423751634287,10006.24922529307,10325.87119726056,11048.200232043615,12032.948152873907,12571.454743283904,12955.478162886604,13106.616216042485,12675.20655789221,11907.218159247093,11471.880476202481,11091.851894100691,10633.486872691361,9735.990637050143,9847.551949196231,10998.090644250484,11931.315535430484,11796.869795545748,11234.461475056843,11471.970330154692,12405.698720168853,13086.125487231133,13432.839823439639,13256.453842142715,12665.002646776724,12036.40408333957,12311.035823881923,13696.110731809858,15935.77841047316,17556.605762721883,18501.88404002244,18117.68085231052,16854.940195840416,15311.22470047955,14128.952002849384,13540.287745352158,12832.149801372952,11942.481159213445,11721.504258771287,12492.033579894356,14558.065711080264,16246.534133542575,17657.693793175644,17600.984835428633,16902.072819346573,15382.30778014325,14423.458684578376,13895.50037889257,13397.069190808956,12477.19930453216,12256.664931000201
394514,4,"Dallas, TX",msa,TX,12558.33358605148,12749.544199409092,12923.201496359892,12375.155534189593,11581.054182173664,10660.572178107153,10223.873707457304,10149.817584501681,10198.606161877055,9913.015596299208,9927.277241560285,10248.838089790961,10808.579154584126,11133.161672519724,11275.987311238976,11136.756586983609,10704.8567560393,10173.920063251311,10016.243472120792,9863.937916852892,9752.869433369897,9278.686749697858,9196.958953873145,9754.573880504468,10448.927652902406,10414.483605678795,10144.89541570338,10334.755736639747,11054.17758078783,11495.32558862736,11824.161939223786,12386.274218685969,12885.934424442748,13022.782173110501,13568.794875500464,14481.323657422772,16070.94899054132,17600.54829113738,19443.959228733802,20415.38982551921,19561.22560156452,18321.429977692078,17193.55145136113,17069.239613501628,16985.06757500923,16886.920779868884,17504.487632888213,19200.009849475337,20238.531112957615,21598.637125853103,21984.79036460147,22792.809104270284,21567.163794025328,19530.328222229844,17373.98206503267,16380.72356587273,15702.11401385749,15007.293550826,14649.620235480157
394692,5,"Houston, TX",msa,TX,14379.44953862977,14302.026026860187,14302.699304673244,13966.521942757421,13156.385884081401,12494.493680705631,12500.951622881947,12748.971966576006,12973.347138604995,12579.766037606429,12795.13475214151,12889.629159769625,13176.848011780292,13192.420695046763,13341.698427397003,13192.515574533585,12538.514380642917,11806.072301271044,11588.275475508519,11451.83007399404,11506.628960666441,11192.294662823837,11218.638641490905,12059.672837551521,12805.556883552255,13271.036399070601,12889.137951952382,12810.083797042776,12854.44990764685,12926.527214765993,13114.471428852967,13429.210718654629,13514.071510456235,13714.200424577068,14263.856682503741,15071.35147973513,16313.190019022333,17586.834437183843,19362.26779474989,20347.46336216891,19822.98467168502,18622.607933557418,17737.925450563227,17653.37424805616,17673.614293575807,17107.810142253704,17638.67890551218,18387.29612963594,19361.31938661457,20027.109805271622,20783.78779383921,20995.895154909635,19672.728648208908,17766.308539784637,16094.73558243543,15346.633802806255,15229.119337004277,15228.40113782532,15394.086533838172
395209,6,"Washington, DC",msa,VA,17504.49675656216,17703.048867227484,17755.58303695871,17767.38628109501,17055.738579351982,15834.596837194302,15552.588707971887,15570.826764201885,16087.807616790009,15988.417927648741,16090.571700564033,16424.10479605498,17033.70112771419,17762.888239379452,18329.499469848288,18281.246898282876,17616.770588796673,16490.944937744465,16337.226538586314,16862.350041231814,17149.501320846048,16524.824689269644,16975.753533393057,19395.887735649852,20882.176094240753,20199.75350762874,18671.515658899847,19452.759268905218,21676.102023727468,23054.052418594965,22655.33039441261,20696.403200581335,18919.46315313818,18029.292968879086,19996.41841704337,21966.08905201317,23115.689037413,24184.54846717134,25192.126681921316,25727.109192329426,23492.90841857108,20798.431088539608,19385.100674891753,18952.83699193453,19047.244869194794,18461.583713309406,18994.54351641633,19870.608146310842,22607.925631928938,24190.697019727737,25789.630887526244,25310.579125324006,24050.40577676617,21910.02249353453,20494.068874770805,20085.628538539084,20221.071826199317,19506.60177467919,19805.694543091446
394856,7,"Miami, FL",msa,FL,27052.044176733038,26630.794831269155,26299.656704341338,25008.3806667329,23091.919550486575,21119.22329852177,19950.935550121972,19987.59256258035,20526.27058022264,21582.98355612509,22665.226780541194,23544.383643072728,23708.303120713823,23323.577305923973,22844.249436991417,22003.470178675907,21447.429458978935,20616.741660780735,20815.55332353644,20884.91304089068,21829.915405240303,22124.725650635446,24013.96437072786,26684.869032648294,28095.3885943495,25698.926752472547,23482.460165535686,22333.903486745385,23754.68318920342,24204.251161709803,25122.783975964496,25905.271354790308,26104.937618154567,25831.30017441774,27610.015299618117,27680.749017322185,30621.888688155712,30931.93831001566,34461.768070098915,35292.29643057249,35835.194318966416,34393.89119079792,33354.24998481799,32360.616466054096,33124.78800187131,32708.75542585882,35096.82405927027,40076.94136135176,47850.6264833933,52691.96696622655,55069.36491181664,54975.07590941067,51704.40897846345,45606.60647526016,40179.86176497001,38418.86489242289,37873.81256828116,38083.40750169535,39778.10356494763
394974,8,"Philadelphia, PA",msa,PA,11117.675798224946,11350.862676300598,12241.151918286603,12758.432647366775,12987.389083082997,12142.567045748321,11972.618903389897,11917.02616326716,11856.69178376065,11176.261352123089,10923.4062886623,10932.344613062574,11348.311931856375,11937.934396162373,12782.71799904878,13019.413440935468,12663.296050118957,11960.651605183322,11943.604278559687,12018.141518019338,11859.73199187495,11058.754886877165,11047.474692827687,12217.908976633322,13054.89939674263,13162.49029476708,12248.776029155451,12627.44498871848,13536.740146791306,14431.562339506492,14800.83710131168,14453.604354130104,14232.7845118602,13946.247559091673,13944.936679236353,14378.002992516163,14743.569622123332,16218.626310758491,17347.376569079923,18081.276621324527,17223.419365646405,15839.414745315109,15267.891609813058,15055.430651015953,14997.481173681925,14231.966183874314,13964.337179729657,14154.450060967903,15168.881085207482,16200.134276799836,17842.272820773505,18024.87949596134,17892.69038445843,16363.902973830045,16127.064279781369,15795.594482043292,15808.607042195721,14850.33919724044,14239.55983151125
394347,9,"Atlanta, GA",msa,GA,13289.420030536237,13702.656586228877,13681.510820510719,13373.666017916374,12625.97734795425,11792.774014723525,11160.898224912004,10945.453227697823,10483.233022028633,9873.27618906471,9709.68146322053,10131.45023086079,10703.823390605787,10983.115792587518,11191.556879170972,11254.229121569862,11086.492902151527,10633.454732380402,10276.767404062115,9924.072798774892,9510.974593018564,9040.830898164393,9198.119742096693,10307.266933446606,11443.251046075535,11489.820002405053,11263.816593212081,11326.187078185045,12395.003493568687,13033.790563240875,13593.14915782244,13865.42605099403,14139.952585416506,14162.519572692183,15433.670107036489,16555.146992044498,19099.85936282431,20055.695808517816,21683.086485156542,21864.914639497805,21442.70191617985,20652.54614474142,19492.136896530872,19267.62836109505,18527.044505459053,17776.416356527327,17279.165947314807,17530.489472440764,18793.92489165021,19125.657760288126,19988.493376525617,19883.79743970669,19401.822845408893,17755.330433501436,16246.039581281702,15601.19064411112,15111.73321637467,14418.3976123669,14173.051293330349
